player_id,overall_rank,tier,pos_rank,pos_tier,player_name,position,team,proj_p10,proj_p50,proj_p90,vor,replacement_baseline,projected_season,proj_ppg_p50,proj_games_p50,inj_weeks_out,inj_weeks_on_report,inj_primary,adp,adp_rank,value_vs_adp
00-0034681,345,5,105,6,Chase Edmonds,RB,WAS,3.1,20.5,70.4,-72.3,92.8,2026,2.05,8.7,0.0,0.0,,253.0,253.0,-92.0
00-0040131,346,5,83,3,Kyle Williams,WR,NE,6.5,64.2,125.8,-72.3,136.5,2026,5.18,13.0,0.0,0.0,,195.0,195.0,-151.0
00-0040669,347,5,84,3,Isaac TeSlaa,WR,DET,9.0,64.1,129.9,-72.4,136.5,2026,5.69,12.5,0.0,4.0,Oblique,184.0,184.0,-163.0
00-0040729,348,5,85,3,Jack Bech,WR,LV,5.9,64.0,133.4,-72.5,136.5,2026,5.52,12.8,0.0,2.0,Back,208.0,208.0,-140.0
00-0037015,349,5,61,4,Sal Cannella,TE,CLE,21.6,32.4,50.6,-73.2,118.5,2026,3.04,8.7,0.0,0.0,,999.0,999.0,650.0
00-0038720,350,5,62,4,Julian Hill,TE,MIA,5.9,32.2,92.3,-73.4,118.5,2026,3.01,11.6,2.0,5.0,Ankle,639.0,639.0,289.0
00-0039530,351,5,63,4,Brevyn Spann-Ford,TE,DAL,15.7,31.8,86.6,-73.7,118.5,2026,2.85,10.7,0.0,1.0,Ankle,660.0,660.0,309.0
00-0037004,352,5,64,4,Hunter Long,TE,JAX,7.7,31.6,82.2,-73.9,118.5,2026,3.18,9.8,3.0,5.0,Hip,488.0,488.0,136.0
00-0039359,353,5,64,4,Cade Stover,TE,HOU,7.3,31.6,84.3,-73.9,118.5,2026,3.65,10.9,0.0,2.0,Foot,508.0,508.0,155.0
00-0033307,354,5,86,3,Kendrick Bourne,WR,SF,12.5,62.5,116.9,-74.0,136.5,2026,4.6,10.9,0.0,1.0,Rib,673.0,673.0,319.0
00-0037304,355,5,106,6,Connor Heyward,RB,PIT,3.3,18.7,73.7,-74.1,92.8,2026,2.24,10.4,0.0,1.0,Knee,612.0,612.0,257.0
00-0037329,356,5,107,6,Brittain Brown,RB,CHI,2.6,18.5,85.5,-74.3,92.8,2026,3.9,7.4,0.0,0.0,,331.0,331.0,-25.0
00-0036727,357,5,108,6,Adam Prentice,RB,DEN,3.4,18.4,71.1,-74.4,92.8,2026,2.0,10.0,0.0,0.0,,,,
00-0037614,358,5,87,3,John Metchie III,WR,NYJ,12.9,61.7,144.4,-74.8,136.5,2026,5.44,13.1,0.0,0.0,,697.0,697.0,339.0
00-0039912,359,5,66,4,Ben Sinnott,TE,WAS,5.0,30.4,85.2,-74.9,118.5,2026,3.1,10.8,1.0,2.0,Ankle,672.0,672.0,313.0
00-0037755,360,5,67,4,Jelani Woods,TE,NYJ,12.8,30.3,66.5,-75.0,118.5,2026,4.16,8.1,1.0,1.0,Hamstring,243.0,243.0,-117.0
00-0040138,361,5,88,3,Jaylin Noel,WR,HOU,8.0,61.2,124.3,-75.3,136.5,2026,5.03,15.5,0.0,0.0,,190.0,190.0,-171.0
00-0033357,362,5,68,4,Taysom Hill,TE,NO,6.4,29.9,79.4,-75.3,118.5,2026,3.14,11.0,0.0,2.0,Knee,321.0,321.0,-41.0
00-0036360,363,5,109,6,Clyde Edwards-Helaire,RB,KC,2.3,17.2,76.0,-75.6,92.8,2026,2.46,8.1,0.0,0.0,,496.0,496.0,133.0
00-0036754,364,5,69,5,Brock Wright,TE,DET,7.4,29.6,78.9,-75.6,118.5,2026,2.87,10.5,2.0,4.0,Neck,691.0,691.0,327.0
00-0039407,365,5,110,6,Dylan Laube,RB,LV,7.2,17.0,54.5,-75.8,92.8,2026,1.17,10.8,0.0,2.0,Foot,607.0,607.0,242.0
00-0035500,366,5,89,3,Greg Dortch,WR,ARI,12.9,60.3,127.8,-76.2,136.5,2026,4.47,11.5,1.0,2.0,Chest,585.0,585.0,219.0
00-0038783,367,5,70,5,Nate Adkins,TE,DEN,6.4,28.8,75.2,-76.2,118.5,2026,3.2,10.0,8.0,13.0,Knee,628.0,628.0,261.0
00-0039266,368,5,111,6,Kendall Milton,RB,CIN,0.8,16.4,78.8,-76.4,92.8,2026,2.13,7.3,0.0,0.0,,657.0,657.0,289.0
00-0038589,369,5,71,5,Josh Whyle,TE,GB,5.8,28.5,91.3,-76.5,118.5,2026,3.07,9.5,1.0,2.0,Concussion,685.0,685.0,316.0
00-0034270,370,5,72,5,Tyler Conklin,TE,LAC,9.7,28.4,87.3,-76.6,118.5,2026,3.66,8.5,0.0,0.0,,645.0,645.0,275.0
00-0037258,371,5,112,6,Dameon Pierce,RB,KC,3.1,16.2,79.1,-76.6,92.8,2026,2.71,8.2,0.0,1.0,Not injury related - personal matter,666.0,666.0,295.0
00-0038409,372,5,113,6,Lew Nichols III,RB,PIT,0.8,16.0,73.5,-76.8,92.8,2026,2.25,7.1,0.0,0.0,,665.0,665.0,293.0
00-0035535,373,5,90,3,Darius Slayton,WR,NYG,14.9,59.6,148.3,-76.9,136.5,2026,6.07,12.1,3.0,9.0,Hamstring,541.0,541.0,168.0
00-0040164,374,5,90,4,Jaylin Lane,WR,WAS,6.9,59.6,127.6,-76.9,136.5,2026,4.97,13.7,0.0,2.0,Ankle,691.0,691.0,317.0
00-0040476,375,5,114,6,Ulysses Bentley IV,RB,IND,0.8,15.8,76.9,-77.0,92.8,2026,2.06,7.0,0.0,0.0,,644.0,644.0,269.0
00-0040067,376,5,115,7,Jacardia Wright,RB,SEA,0.8,15.5,76.9,-77.3,92.8,2026,2.16,7.0,0.0,0.0,,599.0,599.0,223.0
00-0033246,377,5,73,5,Johnny Mundt,TE,JAX,4.8,27.6,70.7,-77.3,118.5,2026,2.88,11.0,0.0,0.0,,644.0,644.0,267.0
00-0035631,378,5,74,5,Drew Sample,TE,CIN,3.9,27.5,88.0,-77.4,118.5,2026,2.99,10.8,0.0,2.0,Ankle,454.0,454.0,76.0
00-0040039,379,5,116,7,Amar Johnson,RB,LAC,0.8,15.0,89.7,-77.8,92.8,2026,1.94,7.3,0.0,0.0,,454.0,454.0,75.0
00-0040021,380,5,116,7,Phil Mafah,RB,DAL,0.8,15.0,83.7,-77.8,92.8,2026,2.1,7.3,1.0,3.0,Shoulder,665.0,665.0,285.0
00-0035567,381,5,116,7,Craig Reynolds,RB,DET,3.6,15.0,56.5,-77.8,92.8,2026,1.43,8.5,1.0,2.0,Hamstring,512.0,512.0,131.0
00-0037837,382,5,92,4,Calvin Austin III,WR,PIT,10.7,58.6,133.0,-77.9,136.5,2026,4.55,12.7,2.0,6.0,Hamstring,698.0,698.0,316.0
00-0037306,383,5,75,5,John FitzPatrick,TE,GB,4.2,26.8,70.2,-77.9,118.5,2026,2.87,10.5,0.0,1.0,Groin,,,
00-0034959,384,5,119,7,Andrew Beck,RB,NYJ,2.2,14.8,44.8,-78.0,92.8,2026,1.37,9.8,0.0,0.0,,614.0,614.0,230.0
00-0039603,385,5,120,7,British Brooks,RB,HOU,2.7,14.7,58.3,-78.1,92.8,2026,1.47,8.8,0.0,0.0,,383.0,383.0,-2.0
00-0039364,386,5,120,7,Sione Vaki,RB,DET,2.7,14.7,61.0,-78.1,92.8,2026,1.27,8.9,5.0,14.0,Groin,527.0,527.0,141.0
00-0040556,387,5,120,7,Corey Kiner,RB,ARI,1.0,14.7,88.3,-78.1,92.8,2026,2.46,7.2,0.0,0.0,,487.0,487.0,100.0
00-0037617,388,5,123,7,Hassan Haskins,RB,LAC,3.0,14.4,76.7,-78.4,92.8,2026,1.87,9.5,2.0,5.0,Hamstring,999.0,999.0,611.0
00-0032918,389,5,124,7,C.J. Ham,RB,MIN,1.6,14.3,49.3,-78.5,92.8,2026,1.11,9.6,2.0,4.0,Hand,,,
00-0035291,390,5,124,7,Trayveon Williams,RB,CLE,2.0,14.3,60.6,-78.5,92.8,2026,1.89,9.0,0.0,0.0,,663.0,663.0,273.0
00-0039299,391,5,126,7,George Holani,RB,SEA,4.0,14.2,86.7,-78.6,92.8,2026,2.7,9.3,1.0,1.0,Hamstring,485.0,485.0,94.0
00-0038046,392,5,76,5,Charlie Kolar,TE,BAL,9.1,25.9,84.7,-78.7,118.5,2026,2.75,10.1,0.0,1.0,Nose,661.0,661.0,269.0
00-0035125,393,5,127,7,Alec Ingold,RB,MIA,2.5,13.9,36.4,-78.9,92.8,2026,1.45,9.6,0.0,5.0,Neck,,,
00-0036425,394,5,128,7,DeeJay Dallas,RB,JAX,2.3,13.8,67.7,-79.0,92.8,2026,1.97,8.3,0.0,0.0,,677.0,677.0,283.0
00-0033217,395,5,77,5,Mo Alie-Cox,TE,IND,6.8,25.5,74.0,-79.0,118.5,2026,2.85,10.3,0.0,0.0,,528.0,528.0,133.0
00-0034159,396,5,78,5,Will Dissly,TE,LAC,3.7,25.4,67.5,-79.1,118.5,2026,2.59,10.0,2.0,5.0,Knee,397.0,397.0,1.0
00-0036628,397,5,79,5,John Bates,TE,WAS,2.9,25.2,72.1,-79.3,118.5,2026,3.0,10.7,2.0,7.0,Calf,620.0,620.0,223.0
00-0039146,398,5,93,4,Jayden Reed,WR,GB,8.5,57.0,151.7,-79.5,136.5,2026,6.11,10.7,3.0,9.0,Foot,102.0,102.0,-296.0
00-0034367,399,5,129,7,Nyheim Hines,RB,NO,3.3,13.2,49.8,-79.6,92.8,2026,1.71,8.8,0.0,0.0,,,,
00-0037348,400,5,80,5,Tanner Conner,TE,MIA,4.6,24.1,79.9,-80.2,118.5,2026,2.88,9.6,0.0,0.0,,681.0,681.0,281.0
00-0038979,401,5,94,4,Cedric Tillman,WR,CLE,8.2,56.3,123.8,-80.2,136.5,2026,4.86,11.9,0.0,5.0,Concussion,667.0,667.0,266.0
00-0035628,402,5,130,7,D'Ernest Johnson,RB,NE,1.9,12.5,54.7,-80.3,92.8,2026,1.55,8.5,0.0,0.0,,455.0,455.0,53.0
00-0036988,403,5,95,4,Josh Palmer,WR,BUF,9.3,56.0,134.0,-80.5,136.5,2026,4.75,12.1,2.0,8.0,Knee,624.0,624.0,221.0
00-0040142,404,5,131,7,Kaleb Johnson,RB,PIT,2.1,12.3,110.2,-80.5,92.8,2026,2.57,8.6,0.0,0.0,,173.0,173.0,-231.0
00-0040586,405,5,132,7,Jaydon Blue,RB,DAL,1.2,12.2,110.1,-80.6,92.8,2026,3.23,7.6,0.0,0.0,,189.0,189.0,-216.0
00-0039737,406,5,81,5,Tip Reiman,TE,ARI,3.8,23.5,67.9,-80.8,118.5,2026,2.89,9.1,1.0,2.0,Foot,,,
00-0034981,407,5,81,5,Foster Moreau,TE,NO,3.9,23.4,65.9,-80.8,118.5,2026,2.39,9.0,0.0,2.0,Knee,638.0,638.0,231.0
00-0036887,408,5,83,5,Luke Farrell,TE,SF,7.6,23.3,77.4,-80.9,118.5,2026,2.88,10.0,0.0,0.0,,491.0,491.0,83.0
00-0038896,409,5,133,7,Jacob Saylors,RB,DET,2.6,11.9,45.2,-80.9,92.8,2026,1.07,8.8,1.0,4.0,Back,489.0,489.0,80.0
00-0034837,410,5,96,4,Calvin Ridley,WR,TEN,13.9,55.5,142.0,-81.0,136.5,2026,6.66,8.9,3.0,5.0,Hamstring,180.0,180.0,-230.0
00-0040208,411,5,134,8,Tahj Brooks,RB,CIN,2.3,11.6,79.5,-81.2,92.8,2026,1.56,8.6,1.0,2.0,Concussion,687.0,687.0,276.0
00-0037557,412,5,135,8,Ronnie Rivers,RB,LA,2.6,11.4,71.6,-81.4,92.8,2026,2.23,8.2,0.0,0.0,,406.0,406.0,-6.0
00-0035594,413,5,135,8,Travis Homer,RB,CHI,2.6,11.4,54.8,-81.4,92.8,2026,1.09,9.0,2.0,7.0,Ankle,695.0,695.0,282.0
00-0037666,414,5,97,4,Jalen Tolbert,WR,DAL,9.6,55.0,129.9,-81.5,136.5,2026,5.08,12.2,0.0,0.0,,617.0,617.0,203.0
00-0036842,415,5,137,8,Kene Nwangwu,RB,NYJ,2.1,11.2,50.4,-81.6,92.8,2026,1.33,8.9,5.0,9.0,Hamstring,696.0,696.0,281.0
00-0039021,416,5,138,8,Roschon Johnson,RB,CHI,2.2,11.1,56.8,-81.7,92.8,2026,1.83,8.6,3.0,6.0,Back,671.0,671.0,255.0
00-0035311,417,5,139,8,Myles Gaskin,RB,SEA,2.3,11.0,51.7,-81.8,92.8,2026,1.85,8.5,0.0,0.0,,575.0,575.0,158.0
00-0037120,418,5,140,8,Tyler Goodson,RB,IND,2.2,10.8,47.3,-82.0,92.8,2026,1.48,9.3,3.0,8.0,Groin,480.0,480.0,62.0
00-0036309,419,5,98,4,Darnell Mooney,WR,ATL,12.4,54.5,154.6,-82.0,136.5,2026,4.96,13.0,1.0,9.0,Hamstring,194.0,194.0,-225.0
00-0036550,420,5,99,4,Rashod Bateman,WR,BAL,9.5,54.4,125.3,-82.1,136.5,2026,4.69,12.0,2.0,8.0,Ankle,203.0,203.0,-217.0
00-0037276,421,5,141,8,Ty Chandler,RB,MIN,1.3,10.5,51.8,-82.3,92.8,2026,1.54,7.9,1.0,5.0,Knee,648.0,648.0,227.0
00-0037475,422,5,84,5,Stone Smartt,TE,NYJ,2.6,21.7,68.5,-82.3,118.5,2026,2.57,8.9,1.0,3.0,Quadricep,,,
00-0035726,423,5,141,8,Jakob Johnson,RB,HOU,1.7,10.5,36.7,-82.3,92.8,2026,0.94,8.3,2.0,4.0,Hamstring,,,
00-0036187,424,5,143,8,Reggie Gilliam,RB,BUF,2.0,10.4,47.2,-82.4,92.8,2026,0.98,9.2,0.0,3.0,Knee,625.0,625.0,201.0
00-0035208,425,5,100,4,Olamide Zaccheaus,WR,CHI,12.6,54.0,150.8,-82.5,136.5,2026,4.65,12.4,0.0,4.0,Illness,698.0,698.0,273.0
00-0038040,426,5,144,8,Zamir White,RB,LV,1.9,10.2,60.3,-82.6,92.8,2026,1.92,8.3,0.0,1.0,Illness,632.0,632.0,206.0
00-0033376,427,5,145,8,Patrick Ricard,RB,BAL,2.4,9.9,32.6,-82.9,92.8,2026,0.83,8.5,6.0,8.0,Calf,,,
00-0040649,428,5,146,8,Robbie Ouzts,RB,SEA,0.9,9.7,60.9,-83.1,92.8,2026,1.55,7.6,0.0,4.0,Elbow,611.0,611.0,183.0
00-0034365,429,5,85,5,Ian Thomas,TE,LV,2.2,20.6,68.7,-83.2,118.5,2026,2.4,9.4,0.0,2.0,Calf,311.0,311.0,-118.0
00-0036569,430,5,147,8,Gary Brightwell,RB,CIN,2.0,9.5,42.7,-83.3,92.8,2026,1.25,8.1,0.0,0.0,,559.0,559.0,129.0
00-0040429,431,6,148,8,Josh Williams,RB,TB,0.8,9.4,63.0,-83.4,92.8,2026,1.78,6.9,2.0,3.0,Concussion,655.0,655.0,224.0
00-0039451,432,6,101,4,Isaiah Williams,WR,NYJ,5.6,52.9,127.3,-83.6,136.5,2026,4.54,12.9,0.0,0.0,,650.0,650.0,218.0
00-0040179,433,6,149,8,DJ Giddens,RB,IND,1.3,9.1,109.2,-83.7,92.8,2026,2.93,7.3,0.0,0.0,,503.0,503.0,70.0
00-0038488,434,6,150,8,Brady Russell,RB,SEA,2.0,8.9,57.3,-83.9,92.8,2026,1.06,9.2,0.0,1.0,Wrist,541.0,541.0,107.0
00-0039363,435,6,150,8,Isaac Guerendo,RB,SF,1.4,8.9,54.8,-83.9,92.8,2026,1.44,8.1,0.0,1.0,Shoulder,678.0,678.0,243.0
00-0038458,436,6,150,8,Owen Wright,RB,TB,0.8,8.9,50.9,-83.9,92.8,2026,1.68,7.1,0.0,0.0,,700.0,700.0,264.0
00-0040205,437,6,153,8,Kalel Mullings,RB,TEN,1.4,8.6,57.9,-84.2,92.8,2026,1.4,7.4,1.0,6.0,Ankle,690.0,690.0,253.0
00-0037282,438,6,86,6,James Mitchell,TE,CAR,3.0,19.2,64.2,-84.4,118.5,2026,2.35,8.6,0.0,0.0,,999.0,999.0,561.0
00-0037539,439,6,87,6,Lucas Krull,TE,DEN,3.8,19.1,51.8,-84.5,118.5,2026,2.43,8.7,1.0,1.0,Foot,,,
00-0037801,440,6,102,4,KaVontae Turpin,WR,DAL,11.6,51.9,123.0,-84.6,136.5,2026,4.3,12.5,2.0,8.0,Foot,477.0,477.0,37.0
00-0034775,441,6,102,4,Christian Kirk,WR,HOU,11.1,51.9,129.3,-84.6,136.5,2026,4.78,10.9,4.0,7.0,Hamstring,210.0,210.0,-231.0
00-0038397,442,6,154,8,Evan Hull,RB,NO,1.4,8.0,61.0,-84.8,92.8,2026,1.65,8.2,0.0,0.0,,686.0,686.0,244.0
00-0036626,443,6,104,4,Dyami Brown,WR,JAX,9.3,51.7,127.2,-84.8,136.5,2026,4.79,11.0,0.0,6.0,Shoulder,473.0,473.0,30.0
00-0036232,444,6,88,6,Harrison Bryant,TE,HOU,3.2,18.5,50.1,-85.0,118.5,2026,2.26,8.5,1.0,4.0,Neck,,,
00-0038498,445,6,89,6,E.J. Jenkins,TE,PHI,10.7,18.3,43.9,-85.2,118.5,2026,1.51,6.8,0.0,0.0,,313.0,313.0,-132.0
00-0037086,446,6,90,6,Grant Calcaterra,TE,PHI,2.9,17.9,57.8,-85.5,118.5,2026,2.38,8.5,2.0,4.0,Oblique,668.0,668.0,222.0
00-0038679,447,6,105,4,Tyrell Shavers,WR,BUF,5.8,50.8,120.1,-85.7,136.5,2026,4.73,12.0,0.0,0.0,,371.0,371.0,-76.0
00-0037277,448,6,91,6,Teagan Quitoriano,TE,ATL,4.4,17.6,56.7,-85.8,118.5,2026,1.99,7.9,0.0,1.0,Hamstring,612.0,612.0,164.0
00-0038396,449,6,155,8,Eric Gray,RB,NYG,1.5,6.7,40.2,-86.1,92.8,2026,1.52,8.0,0.0,1.0,Knee,658.0,658.0,209.0
00-0033455,450,6,92,6,Anthony Firkser,TE,DET,2.6,17.1,60.4,-86.2,118.5,2026,2.17,8.5,0.0,0.0,,,,
00-0036429,451,6,92,6,Charlie Woerner,TE,ATL,2.4,17.1,60.2,-86.2,118.5,2026,2.48,8.9,0.0,5.0,Not injury related - resting player,612.0,612.0,161.0
00-0034796,452,6,25,3,Lamar Jackson,QB,BAL,74.7,220.1,445.2,-86.4,343.5,2026,24.28,9.7,3.0,12.0,Hamstring,10.0,10.0,-442.0
00-0040363,453,6,94,6,Keleki Latu,TE,BUF,3.6,16.7,39.6,-86.5,118.5,2026,2.38,8.3,0.0,0.0,,676.0,676.0,223.0
00-0036534,454,6,94,6,Shane Zylstra,TE,DET,6.2,16.7,67.9,-86.5,118.5,2026,2.33,7.6,1.0,2.0,Knee,999.0,999.0,545.0
00-0040488,455,6,96,6,Carter Runyon,TE,LV,2.9,16.6,38.3,-86.6,118.5,2026,2.25,8.2,0.0,0.0,,365.0,365.0,-90.0
00-0040058,456,6,96,6,Nick Kallerup,TE,SEA,3.4,16.6,39.8,-86.6,118.5,2026,2.18,8.5,0.0,0.0,,398.0,398.0,-58.0
00-0036984,457,6,156,8,Trey Sermon,RB,PIT,1.8,6.0,36.2,-86.8,92.8,2026,1.27,8.2,0.0,0.0,,649.0,649.0,192.0
00-0036590,458,6,98,6,Quintin Morris,TE,JAX,2.5,16.3,69.6,-86.9,118.5,2026,2.4,8.8,2.0,4.0,Groin,249.0,249.0,-209.0
